Dataset_Name,Category,File_Path,File_Size_MB,Feature_Count,Target_Columns,Purpose,CIE_Context_Contribution,CIE_Recommendation,Sample_Features_and_Types
IoT_Fridge.csv,Processed_IoT_dataset,Processed_IoT_dataset\IoT_Fridge.csv,23.81,6,"label, type, temp_condition",Captures physical telemetry and actuator state readings for Fridge sensor.,"Provides Device & Environmental Context (physical sensor dynamics, state changes, environmental readings).",Secondary (Device-level context),"date: str, time: str, fridge_temperature: float64, temp_condition: str, label: int64, type: str"
IoT_GPS_Tracker.csv,Processed_IoT_dataset,Processed_IoT_dataset\IoT_GPS_Tracker.csv,29.97,6,"label, type",Captures physical telemetry and actuator state readings for GPS_Tracker sensor.,"Provides Device & Environmental Context (physical sensor dynamics, state changes, environmental readings).",Secondary (Device-level context),"date: str, time: str, latitude: float64, longitude: float64, label: int64, type: str"
IoT_Garage_Door.csv,Processed_IoT_dataset,Processed_IoT_dataset\IoT_Garage_Door.csv,24.57,6,"label, type, door_state",Captures physical telemetry and actuator state readings for Garage_Door sensor.,"Provides Device & Environmental Context (physical sensor dynamics, state changes, environmental readings).",Secondary (Device-level context),"date: str, time: str, door_state: str, sphone_signal: str, label: int64, type: str"
IoT_Modbus.csv,Processed_IoT_dataset,Processed_IoT_dataset\IoT_Modbus.csv,14.64,8,"label, type",Captures physical telemetry and actuator state readings for Modbus sensor.,"Provides Device & Environmental Context (physical sensor dynamics, state changes, environmental readings).",Secondary (Device-level context),"date: str, time: str, FC1_Read_Input_Register: int64, FC2_Read_Discrete_Value: int64, FC3_Read_Holding_Register: int64, FC4_Read_Coil: int64, ... (+2 more)"
IoT_Motion_Light.csv,Processed_IoT_dataset,Processed_IoT_dataset\IoT_Motion_Light.csv,15.79,6,"label, type, light_status",Captures physical telemetry and actuator state readings for Motion_Light sensor.,"Provides Device & Environmental Context (physical sensor dynamics, state changes, environmental readings).",Secondary (Device-level context),"date: str, time: str, motion_status: int64, light_status: str, label: int64, type: str"
IoT_Thermostat.csv,Processed_IoT_dataset,Processed_IoT_dataset\IoT_Thermostat.csv,18.16,6,"label, type",Captures physical telemetry and actuator state readings for Thermostat sensor.,"Provides Device & Environmental Context (physical sensor dynamics, state changes, environmental readings).",Secondary (Device-level context),"date: str, time: str, current_temperature: float64, thermostat_status: int64, label: int64, type: str"
IoT_Weather.csv,Processed_IoT_dataset,Processed_IoT_dataset\IoT_Weather.csv,40.06,7,"label, type",Captures physical telemetry and actuator state readings for Weather sensor.,"Provides Device & Environmental Context (physical sensor dynamics, state changes, environmental readings).",Secondary (Device-level context),"date: str, time: str, temperature: float64, pressure: float64, humidity: float64, label: int64, ... (+1 more)"
Linux_process_1.csv,Processed_Linux_dataset,Processed_Linux_dataset\Linux_process_1.csv,61.78,17,"label, type",Captures host-level Linux kernel operating system telemetry (process metrics).,"Provides Host & Behavioral Context (process execution levels, disk I/O bursts, memory allocation spikes).",Secondary (Host-level context),"ts: int64, PID: int64, TRUN: int64, TSLPI: int64, TSLPU: int64, POLI: str, ... (+11 more)"
Linux_process_2.csv,Processed_Linux_dataset,Processed_Linux_dataset\Linux_process_2.csv,57.81,17,"label, type",Captures host-level Linux kernel operating system telemetry (process metrics).,"Provides Host & Behavioral Context (process execution levels, disk I/O bursts, memory allocation spikes).",Secondary (Host-level context),"ts: int64, PID: int64, TRUN: int64, TSLPI: int64, TSLPU: int64, POLI: str, ... (+11 more)"
linux_disk_1.csv,Processed_Linux_dataset,Processed_Linux_dataset\linux_disk_1.csv,42.48,9,"label, type",Captures host-level Linux kernel operating system telemetry (disk metrics).,"Provides Host & Behavioral Context (process execution levels, disk I/O bursts, memory allocation spikes).",Secondary (Host-level context),"ts: int64, PID: int64, RDDSK: float64, WRDSK: int64, WCANCL: int64, DSK: float64, ... (+3 more)"
linux_disk_2.csv,Processed_Linux_dataset,Processed_Linux_dataset\linux_disk_2.csv,38.25,9,"label, type",Captures host-level Linux kernel operating system telemetry (disk metrics).,"Provides Host & Behavioral Context (process execution levels, disk I/O bursts, memory allocation spikes).",Secondary (Host-level context),"ts: int64, PID: int64, RDDSK: int64, WRDSK: int64, WCANCL: int64, DSK: float64, ... (+3 more)"
linux_memory1.csv,Processed_Linux_dataset,Processed_Linux_dataset\linux_memory1.csv,57.9,13,"label, type",Captures host-level Linux kernel operating system telemetry (memory1.csv metrics).,"Provides Host & Behavioral Context (process execution levels, disk I/O bursts, memory allocation spikes).",Secondary (Host-level context),"ts: int64, PID: int64, MINFLT: int64, MAJFLT: int64, VSTEXT: int64, VSIZE: float64, ... (+7 more)"
linux_memory2.csv,Processed_Linux_dataset,Processed_Linux_dataset\linux_memory2.csv,58.05,13,"label, type",Captures host-level Linux kernel operating system telemetry (memory2.csv metrics).,"Provides Host & Behavioral Context (process execution levels, disk I/O bursts, memory allocation spikes).",Secondary (Host-level context),"ts: int64, PID: int64, MINFLT: int64, MAJFLT: int64, VSTEXT: int64, VSIZE: float64, ... (+7 more)"
