Parameter Name,Related Dataset Features,Description,Context Category,Expected Value Range,Importance Weight,Influence on Threat Detection,Influence on Contextual Intelligence
Host Endpoint Reputation Score,"src_ip, dst_ip","Quantifies historical host threat activity level, endpoint centrality, and involvement in malicious traffic flows.",Device Context,0.00 - 1.00,0.88,Directly elevates risk priority when known compromised endpoints or command-and-control (C2) hosts are active.,Provides persistent device identity state to adjust baseline anomaly thresholds per endpoint.
SSL Certificate Trust Index,"ssl_subject, ssl_issuer","Evaluates X.509 certificate authenticity, Certificate Authority (CA) reputation, self-signed status, and subject mismatch.",Device Context,0.00 - 1.00,0.78,"Flags spoofed SSL certificates, self-signed C2 channels, and rogue internal servers.",Establishes cryptographic identity verification score for encrypted sessions.
Socket Randomization & Port Entropy,"src_port, dst_port","Measures ephemeral port usage randomness, port scanning frequency, and non-standard socket allocations.",Network Context,0.00 - 5.00,0.75,"Detects high-velocity port sweeps, automated vulnerability scanning, and custom C2 listening ports.",Characterizes transport layer connection patterns and ephemeral socket dynamics.
Service Target Vulnerability Index,"dst_port, service, proto",Maps targeted transport/application services to known CVE exploit sensitivity and critical service exposure.,Network Context,0.00 - 10.00,0.85,"Prioritizes exploits targeted at high-value exposed services (e.g. SSH, HTTP, RDP, DNS).",Contextualizes target asset criticality and potential exploit impact.
TCP Handshake Anomaly Rate,"conn_state, proto","Tracks non-established, rejected, or aborted TCP handshake flags (S0, REJ, RSTO, RSTOS0) relative to normal state (SF).",Network Context,0.00 - 1.00,0.9,"Primary indicator for SYN flooding DDoS, half-open port probes, and firewall connection drops.",Supplies stateful transport health metrics to distinguish network congestion from active attacks.
Flow Duration Anomaly Ratio,duration,Evaluates connection duration deviations against standard protocol and service baseline distributions.,Asset Context,0.00 - 100.00,0.8,Identifies ultra-short reconnaissance probes and persistent long-lived C2 interactive beaconing sessions.,Adds temporal lifespan context to correlate transient spikes vs persistent threats.
Traffic Asymmetry & Volumetric Ratio,"src_bytes, dst_bytes, src_ip_bytes, dst_ip_bytes",Quantifies directional upload vs download byte imbalances (src_bytes / (src_bytes + dst_bytes)).,Asset Context,0.00 - 1.00,0.88,High ratio indicates data exfiltration or outbound DDoS flooding; low ratio indicates large payload downloads.,Profiles flow asymmetry to distinguish interactive web browsing from automated exfiltration.
Packet Burst Intensity Score,"src_pkts, dst_pkts, duration",Calculates instantaneous packet transfer rates (packets per second) across source and destination endpoints.,Asset Context,0.00 - 10000.00,0.86,"Detects high-density volumetric packet floods, DDoS attacks, and aggressive brute-force attempts.",Measures volumetric pressure on network interfaces and edge processing capacity.
HTTP Payload Exfiltration Density,"http_request_body_len, http_response_body_len, src_bytes, dst_bytes",Measures ratio of HTTP body payload bytes relative to total application layer bytes transferred.,Asset Context,0.00 - 1.00,0.82,"Flags hidden web webshell uploads, SQL injection payload injections, and file exfiltration over HTTP POST.",Separates HTTP header overhead from actual application content payload size.
Event Inter-Arrival Velocity,ts,Computes delta time between consecutive event initiation timestamps for a specific source IP or subnet.,Temporal Context,0.0001 - 3600.00,0.84,Extremely low inter-arrival times indicate automated botnet attacks; fixed periodic intervals indicate automated C2 beaconing.,Provides high-precision temporal rhythm and cadence profiling across host event streams.
Zeek Protocol Violation Score,"weird_name, weird_notice, weird_addl","Aggregates Zeek protocol parser anomalies, malformed headers, and security notice flags into a severity score.",Security Context,0.00 - 10.00,0.92,"Directly alerts on protocol abuse, illegal header structures, and zero-day protocol evasion techniques.",Highlights underlying network protocol stack non-compliance and monitor parsing errors.
