Feature_Name,Context_Category,Description,Category_Justification,Nature,Importance_Score,CTI_Contribution
src_ip,Device Context,Source IP address of the initiating network endpoint.,Identifies the initiating host device in the network topology.,Static (per flow),9,Direct: Essential for origin host tracking and identifying compromised IoT devices.
dst_ip,Device Context,Destination IP address of the targeted network endpoint.,Identifies the targeted server or destination IoT node.,Static (per flow),9,Direct: Critical for identifying targeted assets and infrastructure impact.
ssl_subject,Device Context,X.509 SSL certificate subject identity name.,Establishes the identity of the domain or host presenting the certificate.,Static (per cert),8,Indirect: Helps verify server identity and detect fraudulent SSL certificates.
ssl_issuer,Device Context,X.509 SSL certificate issuer Certificate Authority (CA) name.,Identifies the issuing authority validating the host identity.,Static (per cert),7.5,Indirect: Useful for detecting self-signed or untrusted certificate authorities.
src_port,Network Context,Source transport-layer port number.,Defines the ephemeral source socket port for the transport connection.,Dynamic,7.5,Indirect: Helps track socket reuse and source port randomization patterns.
dst_port,Network Context,Destination transport-layer port number.,"Defines the targeted service port (e.g. 80=HTTP, 53=DNS, 22=SSH).",Dynamic,8.5,Direct: Essential for pinpointing targeted network services and port scans.
proto,Network Context,"Transport-layer network protocol (e.g. TCP, UDP, ICMP).",Determines the fundamental transport protocol mechanism.,Static (per flow),9.5,Direct: Governs stateful vs. stateless analysis and attack classification.
service,Network Context,"Application-layer service protocol (e.g. http, dns, ssl, ftp).",Identifies the application protocol handling payload traffic.,Dynamic,9,Direct: Crucial for applying application-specific threat detection rules.
conn_state,Network Context,"Zeek TCP connection state flag (e.g. SF, S0, REJ, RSTO).",Reflects the transport handshake state and completion status.,Dynamic,9.5,Direct: High indicator for TCP SYN floods (S0) and port scans (REJ).
duration,Traffic Context,Connection flow duration in seconds.,Measures the temporal lifespan of the network connection.,Dynamic,8.5,Direct: Distinguishes persistent backdoor C2 sessions from short scan probes.
src_bytes,Traffic Context,Payload bytes transmitted from source to destination.,Quantifies payload volume sent by the flow initiator.,Dynamic,9,Direct: Key metric for detecting data exfiltration and injection payload size.
dst_bytes,Traffic Context,Payload bytes transmitted from destination to source.,Quantifies payload volume returned by the server.,Dynamic,9,Direct: Critical for identifying large file downloads and exfiltration responses.
src_pkts,Traffic Context,Number of network packets sent from source to destination.,Measures packet-level activity volume from the initiator.,Dynamic,8.5,Direct: Essential metric for identifying high-rate packet flooding attacks.
